2025-05-24 19:41:08,240 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:08,523 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:41:09,055 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:09,336 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:41:10,162 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:10,448 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:41:11,283 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:11,569 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:41:12,405 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:12,692 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:41:13,683 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:13,970 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:41:14,523 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:14,816 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:41:15,340 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:15,723 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:41:16,725 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:17,016 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:41:17,530 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:17,809 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:41:18,345 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:18,774 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:41:19,295 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:19,577 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:41:20,108 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:41:20,527 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:42:53,638 - VPA - INFO - Starting VPA LLM Training Data Generation Example...
